simulation	scenario	maxUsers	request	start	startDate	duration	end	count	successCount	errorCount	min	p50	p90	p95	p99	max	avg	stddev	rps	apdex	rating
controlplanesimulation	simulations.ControlPlaneSimulation	50	_all	1637300434157	2021-11-19 05:40:34	377.53	1637300811682	30250	30250	0	17	25	31	34	46	2234	27.28	43	80.13	1.00	Excellent
controlplanesimulation	null	50	Get list of registry instances	1637300434157	2021-11-19 05:40:34	377.53	1637300810614	15000	15000	0	17	24	30	34	45	83	25.17	4	39.73	1.00	Excellent
controlplanesimulation	null	50	Get instance url	1637300434157	2021-11-19 05:40:34	377.53	1637300811141	15050	15050	0	17	25	31	34	45	77	25.89	4	39.86	1.00	Excellent
controlplanesimulation	null	50	Check instance status	1637300434157	2021-11-19 05:40:34	377.53	1637300495568	100	100	0	20	26	34	42	53	54	28.05	5	0.26	1.00	Excellent
controlplanesimulation	null	50	Delete registry instance	1637300434157	2021-11-19 05:40:34	377.53	1637300811682	50	50	0	24	38	45	48	61	61	37.06	7	0.13	1.00	Excellent
controlplanesimulation	null	50	Create registry instance	1637300434157	2021-11-19 05:40:34	377.53	1637300494516	50	50	0	894	1016	1211	1365	2234	2234	1065.64	203	0.13	0.98	Excellent
controlplanesimulation	simulations.ControlPlaneSimulation	50	_all	1637646054945	2021-11-23 05:40:54	377.88	1637646432823	30250	30250	0	20	26	32	36	50	1882	29.02	50	80.05	1.00	Excellent
controlplanesimulation	null	50	Get list of registry instances	1637646054945	2021-11-23 05:40:54	377.88	1637646431757	15000	15000	0	20	25	32	35	47	262	26.51	5	39.70	1.00	Excellent
controlplanesimulation	null	50	Get instance url	1637646054945	2021-11-23 05:40:54	377.88	1637646432281	15050	15050	0	21	26	33	36	50	454	27.42	6	39.83	1.00	Excellent
controlplanesimulation	null	50	Check instance status	1637646054945	2021-11-23 05:40:54	377.88	1637646116231	100	100	0	23	28	36	41	287	290	32.55	26	0.26	1.00	Excellent
controlplanesimulation	null	50	Delete registry instance	1637646054945	2021-11-23 05:40:54	377.88	1637646432823	50	50	0	29	39	44	49	54	54	38.76	5	0.13	1.00	Excellent
controlplanesimulation	null	50	Create registry instance	1637646054945	2021-11-23 05:40:54	377.88	1637646115180	50	50	0	990	1194	1645	1710	1882	1882	1246.84	212	0.13	0.93	Good
controlplanesimulation	simulations.ControlPlaneSimulation	50	_all	1637732424297	2021-11-24 05:40:24	377.73	1637732802026	30250	30250	0	19	25	30	33	44	1940	27.20	44	80.08	1.00	Excellent
controlplanesimulation	null	50	Get list of registry instances	1637732424297	2021-11-24 05:40:24	377.73	1637732800958	15000	15000	0	19	24	29	32	42	78	25.04	4	39.71	1.00	Excellent
controlplanesimulation	null	50	Get instance url	1637732424297	2021-11-24 05:40:24	377.73	1637732801485	15050	15050	0	19	25	30	33	42	70	25.74	4	39.84	1.00	Excellent
controlplanesimulation	null	50	Check instance status	1637732424297	2021-11-24 05:40:24	377.73	1637732485465	100	100	0	21	26	36	39	85	86	28.30	9	0.26	1.00	Excellent
controlplanesimulation	null	50	Delete registry instance	1637732424297	2021-11-24 05:40:24	377.73	1637732802026	50	50	0	27	37	50	57	78	78	38.54	9	0.13	1.00	Excellent
controlplanesimulation	null	50	Create registry instance	1637732424297	2021-11-24 05:40:24	377.73	1637732484407	50	50	0	709	1089	1351	1609	1940	1940	1100.10	236	0.13	0.98	Excellent
